Accuracy,Fitness,No. Params
0.7337110481586402,0.812289133711048,13086
0.7337110481586402,0.812289133711048,13086
0.7337110481586402,0.812289133711048,13086
0.7337110481586402,0.812289133711048,13086
0.7337110481586402,0.812289133711048,13086
0.7337110481586402,0.812289133711048,13086
0.7478753541076487,0.8203653478753541,31474
0.7507082152974505,0.8223189507082154,31768
0.7507082152974505,0.8223189507082154,31768
0.7507082152974505,0.8223189507082154,31768
0.7507082152974505,0.8223189507082154,31768
0.7507082152974505,0.8223189507082154,31768
0.7507082152974505,0.8223189507082154,31768
0.7648725212464589,0.8322339648725212,31768
0.7648725212464589,0.8322339648725212,31768
0.7648725212464589,0.8322339648725212,31768
0.7648725212464589,0.8322339648725212,31768
0.7648725212464589,0.8322339648725212,31768
0.7648725212464589,0.8322339648725212,31768
0.7648725212464589,0.8322339648725212,31768
0.7648725212464589,0.8322339648725212,31768
0.7648725212464589,0.8322339648725212,31768
0.7648725212464589,0.8322339648725212,31768
0.7648725212464589,0.8322339648725212,31768
0.7648725212464589,0.8322339648725212,31768
0.7648725212464589,0.8322339648725212,31768
0.7648725212464589,0.8322339648725212,31768
0.7648725212464589,0.8322339648725212,31768
0.7648725212464589,0.8322339648725212,31768
0.7648725212464589,0.8322339648725212,31768
0.7648725212464589,0.8322339648725212,31768
0.7648725212464589,0.8322339648725212,31768
0.7790368271954674,0.8323681790368271,129576
0.7790368271954674,0.8323681790368271,129576
0.7790368271954674,0.8323681790368271,129576
0.7790368271954674,0.8323681790368271,129576
0.7790368271954674,0.8323681790368271,129576
0.7790368271954674,0.8323681790368271,129576
0.7790368271954674,0.8323681790368271,129576
0.7790368271954674,0.8323681790368271,129576
0.7790368271954674,0.8323681790368271,129576
0.7790368271954674,0.8323681790368271,129576
0.7790368271954674,0.8323681790368271,129576
0.7790368271954674,0.8323681790368271,129576
0.7847025495750708,0.8363341847025494,129576
0.7847025495750708,0.8363341847025494,129576
0.7847025495750708,0.8363341847025494,129576
0.7847025495750708,0.8363341847025494,129576
0.7847025495750708,0.8363341847025494,129576
0.7847025495750708,0.8363341847025494,129576
